	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000030532	215.736784205228	1.52096445282066	0.0802673626421705	18.9487283841762	4.52383284601234e-80	5.29695587939585e-76
ENSMUSG00000015484	90.302691427609	-2.00143311609472	0.106210140916656	-18.8440868152624	3.28586955083661e-79	1.92371232853729e-75
ENSMUSG00000023236	613.718753750511	1.39870777330714	0.0787095813643331	17.770489298282	1.19642633298535e-70	4.66965197764183e-67
ENSMUSG00000024248	49.2858082979587	-3.19441420029021	0.194232680871437	-16.4463270854228	8.91108761588125e-61	2.60849812235884e-57
ENSMUSG00000020912	40.6317705726983	-5.29227616352196	0.328500630218554	-16.1103988141544	2.1562867413945e-58	5.04959229099764e-55
ENSMUSG00000028393	314.617921838026	1.77667936374661	0.118863632430357	14.9472073789061	1.62418753998173e-50	3.16960198427434e-47
ENSMUSG00000015852	39.5502407721816	-2.39979900483662	0.164678641544622	-14.5726184180743	4.19498702168806e-48	7.01701471956364e-45
ENSMUSG00000072572	58.9157877976793	-2.04055137889017	0.141870810989829	-14.3831656748368	6.60049979322937e-47	9.66065650986534e-44
ENSMUSG00000035775	28.9967386356884	-4.64138878902039	0.323957126498782	-14.3271698918401	1.48031205476093e-46	1.92588598324397e-43
ENSMUSG00000050824	44.318926560226	3.70593944177084	0.259864338817083	14.2610542817859	3.82629904728364e-46	4.48021355446442e-43
ENSMUSG00000074064	492.572320888352	1.36507783699126	0.095816515750837	14.246790611141	4.69361161117305e-46	4.99613621411139e-43
ENSMUSG00000066800	51.8578222782668	-2.35655623738884	0.171560886162303	-13.7359761312929	6.18172596820834e-43	6.03181911347929e-40
ENSMUSG00000033585	2097.738150122	0.934531308819944	0.0700749599480668	13.3361661499705	1.42607125415513e-40	1.28445140883865e-37
ENSMUSG00000053644	516.841494557686	-0.923126119245145	0.0694993327271346	-13.282517731062	2.92394886153531e-40	2.44546551569407e-37
ENSMUSG00000021091	159.668050738784	1.80907149063463	0.14488829231538	12.4859742752492	8.90465877988777e-36	6.95097664358039e-33
ENSMUSG00000047419	122.863870679817	-1.29479345855323	0.103843557720924	-12.468693166628	1.10625387283851e-35	8.09570412316633e-33
ENSMUSG00000026355	36.1596473619456	-2.07660411400928	0.16900078786239	-12.2875410243659	1.05671684341882e-34	7.2782926585829e-32
